Business Unit,Division,Family,Product,Product Description,UoM,Orderable UoM,Barcode (GTIN)
Coronary,Dilatation,NC TREK,1012437-06,NC TREK Coronary Dilatation Catheter 3.00 mm x 6 mm / Over-The-Wire,EA,1,08717648151248
Coronary,Dilatation,NC TREK,1012437-08,NC TREK Coronary Dilatation Catheter 3.00 mm x 8 mm / Over-The-Wire,EA,1,08717648151255
Coronary,Dilatation,NC TREK,1012437-12,NC TREK Coronary Dilatation Catheter 3.00 mm x 12 mm / Over-The-Wire,EA,1,08717648151262
Coronary,Dilatation,NC TREK,1012437-15,NC TREK Coronary Dilatation Catheter 3.00 mm x 15 mm / Over-The-Wire,EA,1,08717648151279
Coronary,Dilatation,NC TREK,1012437-20,NC TREK Coronary Dilatation Catheter 3.00 mm X 20 mm / Over-The-Wire,EA,1,08717648151286
Coronary,Dilatation,NC TREK,1012437-25,NC TREK Coronary Dilatation Catheter 3.00 mm x 25 mm / Over-The-Wire,EA,1,08717648151293
Coronary,Dilatation,NC TREK,1012438-06,NC TREK Coronary Dilatation Catheter 3.25 mm x 6 mm / Over-The-Wire,EA,1,08717648151309
Coronary,Dilatation,NC TREK,1012438-08,NC TREK Coronary Dilatation Catheter 3.25 mm x 8 mm / Over-The-Wire,EA,1,08717648151316
Coronary,Dilatation,NC TREK,1012438-12,NC TREK Coronary Dilatation Catheter 3.25 mm x 12 mm / Over-The-Wire,EA,1,08717648151323
Coronary,Dilatation,NC TREK,1012438-15,NC TREK Coronary Dilatation Catheter 3.25 mm x 15 mm / Over-The-Wire,EA,1,08717648151330
Coronary,Dilatation,NC TREK,1012438-20,NC TREK Coronary Dilatation Catheter 3.25 mm x 20 mm / Over-The-Wire,EA,1,08717648151347
Coronary,Dilatation,NC TREK,1012439-06,NC TREK Coronary Dilatation Catheter 3.50 mm x 6 mm / Over-The-Wire,EA,1,08717648151354
Coronary,Dilatation,NC TREK,1012439-08,NC TREK Coronary Dilatation Catheter 3.50 mm x 8 mm / Over-The-Wire,EA,1,08717648151361
Coronary,Dilatation,NC TREK,1012439-12,NC TREK Coronary Dilatation Catheter 3.50 mm x 12 mm / Over-The-Wire,EA,1,08717648151378
Coronary,Dilatation,NC TREK,1012439-15,NC TREK Coronary Dilatation Catheter 3.50 mm x 15 mm / Over-The-Wire,EA,1,08717648151385
Coronary,Dilatation,NC TREK,1012439-20,NC TREK Coronary Dilatation Catheter 3.50 mm x 20 mm / Over-The-Wire,EA,1,08717648151392
Coronary,Dilatation,NC TREK,1012439-25,NC TREK Coronary Dilatation Catheter 3.50 mm x 25 mm / Over-The-Wire,EA,1,08717648151408
Coronary,Dilatation,NC TREK,1012440-08,NC TREK Coronary Dilatation Catheter 3.75 mm x 8 mm / Over-The-Wire,EA,1,08717648151415
Coronary,Dilatation,NC TREK,1012440-12,NC TREK Coronary Dilatation Catheter 3.75 mm x 12 mm / Over-The-Wire,EA,1,08717648151422
Coronary,Dilatation,NC TREK,1012440-15,NC TREK Coronary Dilatation Catheter 3.75 mm x 15 mm / Over-The-Wire,EA,1,08717648151439
Coronary,Dilatation,NC TREK,1012440-20,NC TREK Coronary Dilatation Catheter 3.75 mm x 20 mm / Over-The-Wire,EA,1,08717648151446
Coronary,Dilatation,NC TREK,1012441-08,NC TREK Coronary Dilatation Catheter 4.00 mm x 8 mm / Over-The-Wire,EA,1,08717648151453
Coronary,Dilatation,NC TREK,1012441-12,NC TREK Coronary Dilatation Catheter 4.00 mm x 12 mm / Over-The-Wire,EA,1,08717648151460
Coronary,Dilatation,NC TREK,1012441-15,NC TREK Coronary Dilatation Catheter 4.00 mm x 15 mm / Over-The-Wire,EA,1,08717648151477
Coronary,Dilatation,NC TREK,1012441-20,NC TREK Coronary Dilatation Catheter 4.00 mm x 20 mm / Over-The-Wire,EA,1,08717648151484
Coronary,Dilatation,NC TREK,1012442-08,NC TREK Coronary Dilatation Catheter 4.50 mm x 8 mm / Over-The-Wire,EA,1,08717648151491
Coronary,Dilatation,NC TREK,1012442-12,NC TREK Coronary Dilatation Catheter 4.50 mm x 12 mm / Over-The-Wire,EA,1,08717648151507
Coronary,Dilatation,NC TREK,1012442-15,NC TREK Coronary Dilatation Catheter 4.50 mm x 15 mm / Over-The-Wire,EA,1,08717648151514
Coronary,Dilatation,NC TREK,1012442-20,NC TREK Coronary Dilatation Catheter 4.50 mm x 20 mm / Over-The-Wire,EA,1,08717648151521
Coronary,Dilatation,NC TREK,1012443-08,NC TREK Coronary Dilatation Catheter 5.00 mm x 8 mm / Over-The-Wire,EA,1,08717648151538
Coronary,Dilatation,NC TREK,1012443-12,NC TREK Coronary Dilatation Catheter 5.00 mm x 12 mm / Over-The-Wire,EA,1,08717648151545
Coronary,Dilatation,NC TREK,1012443-15,NC TREK Coronary Dilatation Catheter 5.00 mm x 15 mm / Over-The-Wire,EA,1,08717648151552
Coronary,Dilatation,NC TREK,1012443-20,NC TREK Coronary Dilatation Catheter 5.00 mm x 20 mm / Over-The-Wire,EA,1,08717648151569
Coronary,Dilatation,NC TREK,1012444-06,NC TREK Coronary Dilatation Catheter 1.5 mm x 6 mm / Rapid-Exchange,EA,1,08717648151576
Coronary,Dilatation,NC TREK,1012444-08,NC TREK Coronary Dilatation Catheter 1.5 mm x 8 mm / Rapid-Exchange,EA,1,08717648151583
Coronary,Dilatation,NC TREK,1012444-12,NC TREK Coronary Dilatation Catheter 1.5 mm x 12 mm / Rapid-Exchange,EA,1,08717648151590
Coronary,Dilatation,NC TREK,1012444-15,NC TREK Coronary Dilatation Catheter 1.5 mm x 15 mm / Rapid-Exchange,EA,1,08717648151606
Coronary,Dilatation,NC TREK,1012444-20,NC TREK Coronary Dilatation Catheter 1.5 mm x 20 mm / Rapid-Exchange,EA,1,08717648151613
Coronary,Dilatation,NC TREK,1012445-06,NC TREK Coronary Dilatation Catheter 2.0 mm x 6 mm / Rapid-Exchange,EA,1,08717648151620
Coronary,Dilatation,NC TREK,1012445-08,NC TREK Coronary Dilatation Catheter 2.0 mm x 8 mm / Rapid-Exchange,EA,1,08717648151637
Coronary,Dilatation,NC TREK,1012445-12,NC TREK Coronary Dilatation Catheter 2.0 mm x 12 mm / Rapid-Exchange,EA,1,08717648151644
Coronary,Dilatation,NC TREK,1012445-15,NC TREK Coronary Dilatation Catheter 2.0 mm x 15 mm / Rapid-Exchange,EA,1,08717648151651
Coronary,Dilatation,NC TREK,1012445-20,NC TREK Coronary Dilatation Catheter 2.0 mm x 20 mm / Rapid-Exchange,EA,1,08717648151668
Coronary,Dilatation,NC TREK,1012446-06,NC TREK Coronary Dilatation Catheter 2.25 mm x 6 mm / Rapid-Exchange,EA,1,08717648151675
Coronary,Dilatation,NC TREK,1012446-08,NC TREK Coronary Dilatation Catheter 2.25 mm x 8 mm / Rapid-Exchange,EA,1,08717648151682
Coronary,Dilatation,NC TREK,1012446-12,NC TREK Coronary Dilatation Catheter 2.25 mm x 12 mm / Rapid-Exchange,EA,1,08717648151699
Coronary,Dilatation,NC TREK,1012446-15,NC TREK Coronary Dilatation Catheter 2.25 mm x 15 mm / Rapid-Exchange,EA,1,08717648151705
Coronary,Dilatation,NC TREK,1012446-20,NC TREK Coronary Dilatation Catheter 2.25 mm x 20 mm / Rapid-Exchange,EA,1,08717648151712
Coronary,Dilatation,NC TREK,1012447-06,NC TREK Coronary Dilatation Catheter 2.5 mm x 6 mm / Rapid-Exchange,EA,1,08717648151736
Coronary,Dilatation,NC TREK,1012447-08,NC TREK Coronary Dilatation Catheter 2.5 mm x 8 mm / Rapid-Exchange,EA,1,08717648151743
Coronary,Dilatation,NC TREK,1012447-12,NC TREK Coronary Dilatation Catheter 2.5 mm x 12 mm / Rapid-Exchange,EA,1,08717648151750
Coronary,Dilatation,NC TREK,1012447-15,NC TREK Coronary Dilatation Catheter 2.5 mm x 15 mm / Rapid-Exchange,EA,1,08717648151767
Coronary,Dilatation,NC TREK,1012447-20,NC TREK Coronary Dilatation Catheter 2.5 mm x 20 mm / Rapid-Exchange,EA,1,08717648151774
Coronary,Dilatation,NC TREK,1012447-25,NC TREK Coronary Dilatation Catheter 2.5 mm x 25 mm / Rapid-Exchange,EA,1,08717648151781
Coronary,Dilatation,NC TREK,1012448-06,NC TREK Coronary Dilatation Catheter 2.75 mm x 6 mm / Rapid-Exchange,EA,1,08717648151798
Coronary,Dilatation,NC TREK,1012448-08,NC TREK Coronary Dilatation Catheter 2.75 mm x 8 mm / Rapid-Exchange,EA,1,08717648151804
Coronary,Dilatation,NC TREK,1012448-12,NC TREK Coronary Dilatation Catheter 2.75 mm x 12 mm / Rapid-Exchange,EA,1,08717648151811
Coronary,Dilatation,NC TREK,1012448-15,NC TREK Coronary Dilatation Catheter 2.75 mm x 15 mm / Rapid-Exchange,EA,1,08717648151828
Coronary,Dilatation,NC TREK,1012448-20,NC TREK Coronary Dilatation Catheter 2.75 mm x 20 mm / Rapid-Exchange,EA,1,08717648151835
Coronary,Dilatation,NC TREK,1012449-06,NC TREK Coronary Dilatation Catheter 3.0 mm x 6 mm / Rapid-Exchange,EA,1,08717648151842
Coronary,Dilatation,NC TREK,1012449-08,NC TREK Coronary Dilatation Catheter 3.0 mm x 8 mm / Rapid-Exchange,EA,1,08717648151859
Coronary,Dilatation,NC TREK,1012449-12,NC TREK Coronary Dilatation Catheter 3.0 mm x 12 mm / Rapid-Exchange,EA,1,08717648151866
Coronary,Dilatation,NC TREK,1012449-15,NC TREK Coronary Dilatation Catheter 3.0 mm x 15 mm / Rapid-Exchange,EA,1,08717648151873
Coronary,Dilatation,NC TREK,1012449-20,NC TREK Coronary Dilatation Catheter 3.0 mm x 20 mm / Rapid-Exchange,EA,1,08717648151880
Coronary,Dilatation,NC TREK,1012449-25,NC TREK Coronary Dilatation Catheter 3.0 mm x 25 mm / Rapid-Exchange,EA,1,08717648151897
Coronary,Dilatation,NC TREK,1012450-06,NC TREK Coronary Dilatation Catheter 3.25 mm x 6 mm / Rapid-Exchange,EA,1,08717648151903
Coronary,Dilatation,NC TREK,1012450-08,NC TREK Coronary Dilatation Catheter 3.25 mm x 8 mm / Rapid-Exchange,EA,1,08717648151910
Coronary,Dilatation,NC TREK,1012450-12,NC TREK Coronary Dilatation Catheter 3.25 mm x 12 mm / Rapid-Exchange,EA,1,08717648151927
Coronary,Dilatation,NC TREK,1012450-15,NC TREK Coronary Dilatation Catheter 3.25 mm x 15 mm / Rapid-Exchange,EA,1,08717648151934
Coronary,Dilatation,NC TREK,1012450-20,NC TREK Coronary Dilatation Catheter 3.25 mm x 20 mm / Rapid-Exchange,EA,1,08717648151941
Coronary,Dilatation,NC TREK,1012451-06,NC TREK Coronary Dilatation Catheter 3.5 mm x 6 mm / Rapid-Exchange,EA,1,08717648151958
Coronary,Dilatation,NC TREK,1012451-08,NC TREK Coronary Dilatation Catheter 3.5 mm x 8 mm / Rapid-Exchange,EA,1,08717648151965
Coronary,Dilatation,NC TREK,1012451-12,NC TREK Coronary Dilatation Catheter 3.5 mm x 12 mm / Rapid-Exchange,EA,1,08717648151972
Coronary,Dilatation,NC TREK,1012451-15,NC TREK Coronary Dilatation Catheter 3.5 mm x 15 mm / Rapid-Exchange,EA,1,08717648151989
Coronary,Dilatation,NC TREK,1012451-20,NC TREK Coronary Dilatation Catheter 3.5 mm x 20 mm / Rapid-Exchange,EA,1,08717648151996
Coronary,Dilatation,NC TREK,1012451-25,NC TREK Coronary Dilatation Catheter 3.5 mm x 25 mm / Rapid-Exchange,EA,1,08717648152009
Coronary,Dilatation,NC TREK,1012452-08,NC TREK Coronary Dilatation Catheter 3.75 mm x 8 mm / Rapid-Exchange,EA,1,08717648152016
Coronary,Dilatation,NC TREK,1012452-12,NC TREK Coronary Dilatation Catheter 3.75 mm x 12 mm / Rapid-Exchange,EA,1,08717648152023
Coronary,Dilatation,NC TREK,1012452-15,NC TREK Coronary Dilatation Catheter 3.75 mm x 15 mm / Rapid-Exchange,EA,1,08717648152030
Coronary,Dilatation,NC TREK,1012452-20,NC TREK Coronary Dilatation Catheter 3.75 mm x 20 mm / Rapid-Exchange,EA,1,08717648152047
Coronary,Dilatation,NC TREK,1012453-08,NC TREK Coronary Dilatation Catheter 4.0 mm x 8 mm / Rapid-Exchange,EA,1,08717648152054
Coronary,Dilatation,NC TREK,1012453-12,NC TREK Coronary Dilatation Catheter 4.0 mm x 12 mm / Rapid-Exchange,EA,1,08717648152061
Coronary,Dilatation,NC TREK,1012453-15,NC TREK Coronary Dilatation Catheter 4.0 mm x 15 mm / Rapid-Exchange,EA,1,08717648152078
Coronary,Dilatation,NC TREK,1012453-20,NC TREK Coronary Dilatation Catheter 4.0 mm x 20 mm / Rapid-Exchange,EA,1,08717648152085
Coronary,Dilatation,NC TREK,1012454-08,NC TREK Coronary Dilatation Catheter 4.5 mm x 8 mm / Rapid-Exchange,EA,1,08717648152092
Coronary,Dilatation,NC TREK,1012454-12,NC TREK Coronary Dilatation Catheter 4.5 mm x 12 mm / Rapid-Exchange,EA,1,08717648152108
Coronary,Dilatation,NC TREK,1012454-15,NC TREK Coronary Dilatation Catheter 4.5 mm x 15 mm / Rapid-Exchange,EA,1,08717648152115
Coronary,Dilatation,NC TREK,1012454-20,NC TREK Coronary Dilatation Catheter 4.5 mm x 20 mm / Rapid-Exchange,EA,1,08717648152122
Coronary,Dilatation,NC TREK,1012455-08,NC TREK Coronary Dilatation Catheter 5.0 mm x 8 mm / Rapid-Exchange,EA,1,08717648152139
Coronary,Dilatation,NC TREK,1012455-12,NC TREK Coronary Dilatation Catheter 5.0 mm x 12 mm / Rapid-Exchange,EA,1,08717648152146
Coronary,Dilatation,NC TREK,1012455-15,NC TREK Coronary Dilatation Catheter 5.0 mm x 15 mm / Rapid-Exchange,EA,1,08717648152153
Coronary,Dilatation,NC TREK,1012455-20,NC TREK Coronary Dilatation Catheter 5.0 mm x 20 mm / Rapid-Exchange,EA,1,08717648152160
Coronary,Dilatation,TREK,1012268-06U,MINI TREK Coronary Dilatation Catheter 1.20 mm x 06 mm/Rapid-Exchange,EA,1,08717648176531
Coronary,Dilatation,TREK,1012268-08U,MINI TREK Coronary Dilatation Catheter 1.20 mm x 08 mm/Rapid-Exchange,EA,1,08717648176548
Coronary,Dilatation,TREK,1012268-12U,MINI TREK Coronary Dilatation Catheter 1.20 mm x 12 mm/Rapid-Exchange,EA,1,08717648176555
Coronary,Dilatation,TREK,1012268-15U,MINI TREK Coronary Dilatation Catheter 1.20 mm x 15 mm/Rapid-Exchange,EA,1,08717648176562
Coronary,Dilatation,TREK,1012268-20U,MINI TREK Coronary Dilatation Catheter 1.20 mm x 20 mm/Rapid-Exchange,EA,1,08717648176579
Coronary,Dilatation,TREK,1012269-06,MINI TREK Coronary Dilatation Catheter 1.50 mm x 6 mm / Rapid-Exchange,EA,1,08717648138072
Coronary,Dilatation,TREK,1012269-08,MINI TREK Coronary Dilatation Catheter 1.50 mm x 8 mm / Rapid-Exchange,EA,1,08717648138089
Coronary,Dilatation,TREK,1012269-12,MINI TREK Coronary Dilatation Catheter 1.50 mm x 12 mm / Rapid-Exchange,EA,1,08717648138096
Coronary,Dilatation,TREK,1012269-15,MINI TREK Coronary Dilatation Catheter 1.50 mm x 15 mm / Rapid-Exchange,EA,1,08717648138102
Coronary,Dilatation,TREK,1012269-20,MINI TREK Coronary Dilatation Catheter 1.50 mm x 20 mm / Rapid-Exchange,EA,1,08717648138119
Coronary,Dilatation,TREK,1012270-06,MINI TREK Coronary Dilatation Catheter 2.0 mm x 6 mm / Rapid-Exchange,EA,1,08717648138126
Coronary,Dilatation,TREK,1012270-08,MINI TREK Coronary Dilatation Catheter 2.0 mm x 8 mm / Rapid-Exchange,EA,1,08717648138133
Coronary,Dilatation,TREK,1012270-12,MINI TREK Coronary Dilatation Catheter 2.0 mm x 12 mm / Rapid-Exchange,EA,1,08717648138140
Coronary,Dilatation,TREK,1012270-15,MINI TREK Coronary Dilatation Catheter 2.0 mm x 15 mm / Rapid-Exchange,EA,1,08717648138157
Coronary,Dilatation,TREK,1012270-20,MINI TREK Coronary Dilatation Catheter 2.0 mm x 20 mm / Rapid-Exchange,EA,1,08717648138164
Coronary,Dilatation,TREK,1012270-25,MINI TREK Coronary Dilatation Catheter 2.0 mm x 25 mm / Rapid-Exchange,EA,1,08717648138171
Coronary,Dilatation,TREK,1012270-30,MINI TREK Coronary Dilatation Catheter 2.0 mm x 30 mm / Rapid-Exchange,EA,1,08717648138188
Coronary,Dilatation,TREK,1012271-06,TREK Coronary Dilatation Catheter 2.25 mm x 6 mm / Rapid-Exchange,EA,1,08717648138195
Coronary,Dilatation,TREK,1012271-08,TREK Coronary Dilatation Catheter 2.25 mm x 8 mm / Rapid-Exchange,EA,1,08717648138201
Coronary,Dilatation,TREK,1012271-12,TREK Coronary Dilatation Catheter 2.25 mm x 12 mm / Rapid-Exchange,EA,1,08717648138218
Coronary,Dilatation,TREK,1012271-15,TREK Coronary Dilatation Catheter 2.25 mm x 15 mm / Rapid-Exchange,EA,1,08717648138225
Coronary,Dilatation,TREK,1012271-20,TREK Coronary Dilatation Catheter 2.25 mm x 20 mm / Rapid-Exchange,EA,1,08717648138232
Coronary,Dilatation,TREK,1012271-25,TREK Coronary Dilatation Catheter 2.25 mm x 25 mm / Rapid-Exchange,EA,1,08717648138249
Coronary,Dilatation,TREK,1012271-30,TREK Coronary Dilatation Catheter 2.25 mm x 30 mm / Rapid-Exchange,EA,1,08717648138256
Coronary,Dilatation,TREK,1012272-06,TREK Coronary Dilatation Catheter 2.50 mm x 6 mm / Rapid-Exchange,EA,1,08717648138263
Coronary,Dilatation,TREK,1012272-08,TREK Coronary Dilatation Catheter 2.50 mm x 8 mm / Rapid-Exchange,EA,1,08717648138270
Coronary,Dilatation,TREK,1012272-12,TREK Coronary Dilatation Catheter 2.50 mm x 12 mm / Rapid-Exchange,EA,1,08717648138287
Coronary,Dilatation,TREK,1012272-15,TREK Coronary Dilatation Catheter 2.50 mm x 15 mm / Rapid-Exchange,EA,1,08717648138294
Coronary,Dilatation,TREK,1012272-20,TREK Coronary Dilatation Catheter 2.50 mm x 20 mm / Rapid-Exchange,EA,1,08717648138300
Coronary,Dilatation,TREK,1012272-25,TREK Coronary Dilatation Catheter 2.50 mm x 25 mm / Rapid-Exchange,EA,1,08717648138317
Coronary,Dilatation,TREK,1012272-30,TREK Coronary Dilatation Catheter 2.50 mm x 30 mm / Rapid-Exchange,EA,1,08717648138324
Coronary,Dilatation,TREK,1012273-06,TREK Coronary Dilatation Catheter 2.75 mm x 6 mm / Rapid-Exchange,EA,1,08717648138331
Coronary,Dilatation,TREK,1012273-08,TREK Coronary Dilatation Catheter 2.75 mm x 8 mm / Rapid-Exchange,EA,1,08717648138348
Coronary,Dilatation,TREK,1012273-12,TREK Coronary Dilatation Catheter 2.75 mm x 12 mm / Rapid-Exchange,EA,1,08717648138355
Coronary,Dilatation,TREK,1012273-15,TREK Coronary Dilatation Catheter 2.75 mm x 15 mm / Rapid-Exchange,EA,1,08717648138362
Coronary,Dilatation,TREK,1012273-20,TREK Coronary Dilatation Catheter 2.75 mm x 20 mm / Rapid-Exchange,EA,1,08717648138379
Coronary,Dilatation,TREK,1012273-25,TREK Coronary Dilatation Catheter 2.75 mm x 25 mm / Rapid-Exchange,EA,1,08717648138386
Coronary,Dilatation,TREK,1012273-30,TREK Coronary Dilatation Catheter 2.75 mm x 30 mm / Rapid-Exchange,EA,1,08717648138393
Coronary,Dilatation,TREK,1012274-06,TREK Coronary Dilatation Catheter 3.0 mm x 6 mm / Rapid-Exchange,EA,1,08717648138409
Coronary,Dilatation,TREK,1012274-08,TREK Coronary Dilatation Catheter 3.0 mm x 8 mm / Rapid-Exchange,EA,1,08717648138416
Coronary,Dilatation,TREK,1012274-12,TREK Coronary Dilatation Catheter 3.0 mm x 12 mm / Rapid-Exchange,EA,1,08717648138423
Coronary,Dilatation,TREK,1012274-15,TREK Coronary Dilatation Catheter 3.0 mm x 15 mm / Rapid-Exchange,EA,1,08717648138430
Coronary,Dilatation,TREK,1012274-20,TREK Coronary Dilatation Catheter 3.0 mm x 20 mm / Rapid-Exchange,EA,1,08717648138447
Coronary,Dilatation,TREK,1012274-25,TREK Coronary Dilatation Catheter 3.0 mm x 25 mm / Rapid-Exchange,EA,1,08717648138454
Coronary,Dilatation,TREK,1012274-30,TREK Coronary Dilatation Catheter 3.0 mm x 30 mm / Rapid-Exchange,EA,1,08717648138461
Coronary,Dilatation,TREK,1012275-06,TREK Coronary Dilatation Catheter 3.25 mm x 6 mm / Rapid-Exchange,EA,1,08717648138478
Coronary,Dilatation,TREK,1012275-08,TREK Coronary Dilatation Catheter 3.25 mm x 8 mm / Rapid-Exchange,EA,1,08717648138485
Coronary,Dilatation,TREK,1012275-12,TREK Coronary Dilatation Catheter 3.25 mm x 12 mm / Rapid-Exchange,EA,1,08717648138492
Coronary,Dilatation,TREK,1012275-15,TREK Coronary Dilatation Catheter 3.25 mm x 15 mm / Rapid-Exchange,EA,1,08717648138508
